                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5823,                 3.1124,                 1.1947,                0.87741,                0.25243,                0.47847,                0.24668,                 1.3229,                 3.3326,                 1.0702,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.4395,                 1.4056,                  1.137,                0.80337,                0.20469,                0.57119,                0.33742,                 1.3555,                 2.6041,                  1.157,             0.00081502,             0.00081502,             0.00081502
                      3,                 1.3531,                 1.1952,                 1.1058,                0.56142,                0.69961,                0.70255,                0.40078,                 1.5125,                 1.9031,                 1.2433,              0.0012153,              0.0012153,              0.0012153
                      4,                 1.2887,                  1.065,                 1.0666,                0.72651,                0.75682,                0.79563,                0.49964,                 1.3564,                 1.2934,                 1.1325,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2897,                  1.011,                 1.0635,                 0.7534,                0.89038,                0.84267,                0.52372,                  1.244,                 1.1525,                 1.1221,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.223,                 0.9279,                 1.0475,                 0.7335,                0.80553,                0.79812,                0.52782,                 1.2018,                 0.9698,                 1.0666,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2217,                0.89553,                 1.0384,                0.72968,                0.70015,                0.75687,                0.44769,                 1.2481,                  1.046,                  1.121,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2338,                0.87327,                 1.0349,                0.81727,                0.88947,                0.88402,                0.57972,                  1.117,                0.84544,                 1.0151,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1929,                 0.8312,                 1.0246,                0.85828,                0.83692,                0.84916,                0.54674,                 1.1735,                0.84645,                 1.0602,               0.001151,               0.001151,               0.001151
                     10,                 1.1661,                0.80346,                 1.0124,                0.83325,                0.83989,                0.88088,                0.58916,                 1.0955,                0.79619,                 1.0131,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1678,                0.77317,                 1.0129,                0.85306,                 0.8743,                0.90408,                0.59962,                   1.11,                0.82978,                 1.0304,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1369,                0.75006,                 1.0049,                0.79187,                0.83946,                0.86138,                0.57128,                 1.1971,                0.87604,                 1.0738,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1331,                0.73815,                 1.0017,                0.91205,                0.83355,                0.91303,                0.59729,                 1.1272,                0.73313,                 1.0373,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.107,                 0.7121,                 1.0002,                0.76426,                0.77136,                0.77727,                0.54189,                 1.1364,                0.75145,                 1.0507,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1493,                0.75317,                 1.0083,                0.81124,                0.85585,                0.88135,                0.58591,                 1.1327,                0.82932,                 1.0297,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1309,                0.70326,                0.99745,                0.82597,                0.88419,                0.87548,                0.58978,                 1.1238,                 0.7067,                 1.0222,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1194,                0.68499,                0.99797,                 0.8037,                0.88993,                0.90628,                0.58185,                 1.2014,                0.74616,                 1.0781,               0.001052,               0.001052,               0.001052
                     18,                 1.1325,                0.68377,                 1.0026,                0.82806,                0.85333,                0.89356,                0.61693,                 1.0952,                 0.6784,                 1.0067,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.105,                0.66796,                  1.003,                0.83545,                0.87459,                0.88713,                0.59516,                 1.1256,                 0.7283,                 1.0345,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0968,                0.65705,                0.99247,                0.90841,                  0.907,                0.94648,                0.62539,                 1.1768,                0.65574,                 1.0403,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0779,                0.64793,                 0.9872,                 0.8994,                0.87961,                0.91122,                 0.6204,                 1.1311,                0.69765,                 1.0367,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0758,                0.63202,                0.98616,                0.89371,                 0.9036,                0.92457,                0.63928,                 1.0617,                0.65228,                 1.0056,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.055,                0.62676,                0.97083,                0.92433,                0.86977,                0.93396,                0.60621,                 1.1918,                0.65108,                 1.0899,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0689,                0.62757,                0.97317,                0.89939,                0.88515,                0.91528,                0.62347,                 1.1287,                0.62815,                 1.0313,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0377,                0.60674,                0.96754,                 0.8922,                0.89716,                 0.9229,                0.62872,                 1.0677,                0.60583,                  1.005,               0.000953,               0.000953,               0.000953
                     26,                 1.0603,                0.60821,                0.97649,                0.91154,                0.88225,                0.92503,                0.63525,                  1.089,                0.67379,                 1.0155,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0762,                0.60627,                 0.9687,                0.87036,                0.83737,                0.88902,                0.61698,                 1.0624,                0.61065,                 1.0128,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0382,                 0.5989,                0.97554,                0.91324,                0.89001,                0.94618,                0.64957,                 1.0705,                  0.603,                 1.0175,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0472,                0.60524,                 0.9694,                 0.9066,                0.91215,                0.94674,                 0.6461,                 1.0753,                0.57101,                 1.0041,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0639,                0.59555,                0.97032,                0.90456,                0.88619,                 0.9288,                0.64078,                 1.0885,                0.59387,                 1.0347,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.0387,                 0.5889,                0.97005,                0.92086,                0.85893,                0.93452,                0.64053,                 1.0349,                0.59506,                 0.9828,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.0597,                 0.5834,                0.97715,                0.93539,                0.89369,                0.94595,                0.67157,                 1.0412,                0.57764,                0.99095,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.0626,                 0.5785,                  0.959,                0.91101,                 0.9119,                0.92728,                0.65809,                 1.0122,                0.54106,                0.98645,               0.000854,               0.000854,               0.000854
                     34,                 1.0692,                0.58565,                 0.9695,                 0.9227,                0.91895,                0.96318,                0.68214,                 1.0259,                 0.5736,                0.99172,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.0277,                0.56876,                0.96045,                0.90189,                0.87204,                0.91824,                0.62446,                 1.0738,                0.59913,                0.99893,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.0124,                0.55625,                0.95458,                0.94409,                0.86343,                0.93633,                0.64042,                 1.0689,                 0.5648,                  1.011,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0405,                0.57429,                0.96434,                0.92526,                  0.912,                0.95422,                0.64795,                 1.0893,                0.55848,                  1.018,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.0099,                0.55252,                 0.9535,                0.89961,                0.90194,                0.94494,                0.63642,                 1.0743,                0.54286,                 1.0296,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0353,                0.55772,                 0.9636,                0.92589,                0.87594,                0.94315,                0.65088,                 1.0513,                0.54608,                 1.0047,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0256,                0.55683,                0.95658,                0.93991,                0.89431,                0.95569,                0.68383,                 1.0587,                 0.5255,                 1.0007,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0163,                 0.5484,                0.95438,                0.87017,                0.92704,                0.94009,                0.64959,                 1.0819,                0.54521,                  1.004,               0.000755,               0.000755,               0.000755
                     42,                  1.025,                0.54515,                0.95516,                0.91357,                0.91398,                0.94552,                0.67779,                 1.0425,                0.52767,                0.99325,             0.00074263,             0.00074263,             0.00074263
