                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8241,                  2.493,                 1.1738,                0.95959,                0.20339,                0.60133,                0.29466,                   1.56,                 2.5806,                 1.0805,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.5041,                 1.2649,                 1.0595,                 0.8283,                0.59399,                0.77914,                0.42945,                 1.3954,                 1.8413,                 1.0452,              0.0012526,              0.0012526,              0.0012526
                      3,                 1.4844,                 1.1367,                 1.0468,                0.85659,                0.81799,                0.87286,                0.52678,                 1.2618,                 1.1606,                 1.0081,               0.001788,               0.001788,               0.001788
                      4,                 1.4668,                 1.0448,                  1.047,                0.87351,                0.83298,                0.90935,                0.58467,                 1.1858,                  1.071,                 1.0097,               0.001703,               0.001703,               0.001703
                      5,                    1.4,                0.98216,                 1.0198,                0.91316,                0.85561,                0.92403,                0.59625,                 1.1738,                0.86596,                0.99351,               0.001604,               0.001604,               0.001604
                      6,                 1.3818,                0.93016,                 1.0135,                0.92856,                0.84797,                0.93518,                0.60072,                 1.1994,                 0.8132,                0.99732,               0.001505,               0.001505,               0.001505
                      7,                 1.3368,                0.88814,                 1.0027,                0.92174,                0.87259,                0.93715,                0.59682,                  1.209,                0.79537,                0.99188,               0.001406,               0.001406,               0.001406
                      8,                 1.3057,                0.83771,                0.99308,                0.94237,                0.85789,                0.94881,                0.59058,                 1.2271,                 0.7561,                0.99606,               0.001307,               0.001307,               0.001307
                      9,                 1.3032,                 0.8274,                0.99149,                0.93536,                0.88311,                0.94608,                0.60681,                 1.1732,                0.75327,                0.97267,               0.001208,               0.001208,               0.001208
                     10,                 1.3176,                0.81844,                0.98265,                0.94686,                0.89079,                0.95568,                0.62278,                 1.1127,                0.68698,                0.95488,               0.001109,               0.001109,               0.001109
                     11,                 1.2438,                0.82703,                0.98394,                0.91537,                0.84539,                0.92924,                0.61206,                 1.1635,                0.85922,                0.96837,                0.00101,                0.00101,                0.00101
                     12,                 1.2433,                0.79395,                0.97753,                0.91771,                0.88865,                0.94545,                0.62422,                 1.1205,                0.79406,                0.96053,               0.000911,               0.000911,               0.000911
                     13,                 1.2353,                0.76668,                0.98076,                0.92627,                0.89829,                0.95747,                0.63572,                 1.1211,                0.69849,                0.95665,               0.000812,               0.000812,               0.000812
                     14,                 1.1806,                0.73416,                0.97137,                0.94561,                0.89345,                0.96124,                0.64494,                 1.0928,                 0.6455,                0.95341,               0.000713,               0.000713,               0.000713
                     15,                 1.1844,                0.71849,                 0.9586,                0.93769,                0.90234,                0.95825,                0.64383,                 1.1007,                0.62816,                0.95131,               0.000614,               0.000614,               0.000614
                     16,                 1.1888,                0.70605,                0.96382,                0.91292,                0.92045,                0.96129,                0.65504,                 1.0686,                0.62747,                0.94241,               0.000515,               0.000515,               0.000515
                     17,                 1.1762,                0.68417,                 0.9638,                0.91343,                0.92636,                0.96226,                0.65499,                 1.0579,                0.59546,                0.93972,               0.000416,               0.000416,               0.000416
                     18,                 1.1398,                0.66237,                0.94644,                0.93137,                0.92991,                0.96954,                0.65663,                 1.0773,                0.60109,                 0.9426,               0.000317,               0.000317,               0.000317
                     19,                 1.1287,                0.64718,                0.94136,                0.94699,                0.91805,                0.97129,                0.66515,                 1.0548,                0.58131,                0.93728,               0.000218,               0.000218,               0.000218
                     20,                  1.123,                0.64109,                0.94016,                0.94905,                 0.9173,                0.97232,                0.66812,                 1.0428,                0.56999,                0.93244,               0.000119,               0.000119,               0.000119
