                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8256,                 2.4988,                 1.1744,                0.98459,                 0.2736,                0.66069,                 0.3411,                 1.4943,                 2.5089,                 1.0457,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.5041,                 1.2604,                 1.0617,                0.96061,                0.60054,                0.84001,                0.50149,                 1.3135,                 1.8471,                 1.0373,              0.0013048,              0.0013048,              0.0013048
                      3,                 1.4647,                 1.1234,                 1.0428,                 0.8616,                0.76338,                0.86358,                0.54966,                 1.2149,                 1.2479,                 1.0064,              0.0019452,              0.0019452,              0.0019452
                      4,                 1.4102,                 1.0172,                 1.0318,                0.90434,                0.84368,                0.92256,                0.54333,                 1.3289,                 1.0796,                 1.0597,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4299,                0.98249,                  1.026,                0.88313,                0.83619,                0.90754,                0.55711,                 1.2636,                0.91015,                 1.0128,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3818,                0.91861,                 1.0188,                0.91051,                0.85974,                0.93217,                0.56035,                 1.2779,                0.83866,                 1.0173,               0.001901,               0.001901,               0.001901
                      7,                 1.3672,                0.89683,                 1.0157,                0.89893,                0.87794,                0.93467,                0.58844,                 1.2412,                 0.8009,                 0.9978,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3423,                0.83983,                 1.0057,                0.91909,                 0.8758,                0.94978,                0.59581,                 1.2195,                 0.7959,                 1.0008,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3285,                 0.8331,                      1,                 0.9299,                0.88051,                0.93316,                0.60134,                 1.1611,                0.73485,                0.98992,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3406,                0.82219,                0.99268,                0.95541,                0.87901,                0.95243,                0.63108,                 1.1002,                0.70352,                0.95588,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2516,                 0.7649,                0.96955,                0.94448,                0.87366,                0.94917,                0.62293,                 1.1363,                0.72814,                0.96561,               0.001802,               0.001802,               0.001802
                     12,                 1.2943,                0.76818,                0.97779,                0.92676,                0.89293,                 0.9486,                0.60294,                 1.1629,                0.69045,                0.97632,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3116,                0.76809,                0.98361,                0.93909,                  0.894,                0.95572,                0.62098,                 1.1817,                0.66488,                0.98332,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2431,                0.74567,                0.97485,                0.92994,                0.88758,                0.94449,                0.60234,                 1.1797,                0.71346,                0.97024,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2757,                0.74724,                0.97944,                0.92881,                0.90798,                0.95876,                0.62138,                 1.1642,                0.68521,                0.97751,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2383,                0.73552,                0.97466,                0.94626,                0.88651,                0.96028,                0.62863,                 1.1725,                0.63162,                0.98283,               0.001703,               0.001703,               0.001703
                     17,                 1.2314,                0.72771,                0.96098,                0.94677,                 0.8758,                0.95727,                0.64139,                 1.1004,                0.64868,                0.94591,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2521,                0.73039,                0.96229,                 0.9615,                0.90043,                0.95891,                0.62819,                 1.1306,                0.62021,                0.96441,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2305,                0.70173,                0.97176,                0.93874,                0.88544,                 0.9587,                0.63257,                 1.1498,                0.65284,                0.97105,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2263,                0.69969,                0.96748,                0.94391,                0.91889,                 0.9671,                0.63561,                 1.1238,                0.64978,                0.96648,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2317,                0.67566,                0.96336,                0.94387,                 0.9015,                0.96006,                0.63307,                 1.1267,                 0.6033,                0.96244,               0.001604,               0.001604,               0.001604
                     22,                 1.2022,                0.65977,                 0.9636,                0.93229,                0.90899,                0.96534,                0.61918,                 1.1508,                 0.6037,                0.96276,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1956,                0.65801,                0.95659,                0.94572,                0.91402,                0.96914,                0.64751,                 1.0894,                0.56531,                0.95015,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1921,                0.64213,                0.95513,                0.94207,                0.90544,                0.96572,                0.64358,                 1.1195,                0.56693,                0.95874,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.216,                 0.6567,                0.95568,                0.93539,                0.91452,                0.96464,                0.63523,                 1.1102,                0.57674,                0.95919,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2135,                0.64344,                0.96571,                0.91167,                0.92826,                0.96374,                0.63302,                  1.134,                0.57714,                0.95609,               0.001505,               0.001505,               0.001505
                     27,                 1.2112,                0.63336,                0.95095,                0.93798,                0.90685,                 0.9622,                0.63031,                  1.126,                0.57284,                0.95386,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2061,                0.63851,                0.96359,                0.94614,                0.92166,                0.97219,                0.65257,                 1.0949,                0.55422,                0.95142,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1702,                0.61422,                0.94635,                0.93971,                0.91542,                0.96582,                0.64727,                    1.1,                 0.5534,                0.95226,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1633,                0.61385,                 0.9488,                0.95023,                0.91113,                  0.967,                0.66068,                 1.0949,                0.55404,                0.95546,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1933,                0.62276,                 0.9671,                0.95783,                0.89973,                0.96339,                0.64796,                 1.1127,                0.55376,                0.95844,               0.001406,               0.001406,               0.001406
                     32,                 1.2088,                0.65389,                0.95461,                0.93989,                0.90399,                0.96851,                0.63542,                 1.1288,                0.60528,                0.96729,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1717,                0.60918,                0.94988,                0.93589,                0.92214,                0.97348,                0.63147,                 1.1445,                0.57223,                0.96688,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.148,                0.60802,                0.94771,                0.93948,                 0.9142,                0.97076,                0.64629,                 1.0984,                0.55557,                0.95184,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1406,                0.58901,                0.94569,                0.92978,                0.92612,                0.96342,                0.64972,                 1.0775,                0.54773,                0.94807,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1639,                0.60212,                 0.9576,                0.94294,                0.91006,                0.96524,                0.63868,                  1.123,                0.54048,                0.96854,               0.001307,               0.001307,               0.001307
                     37,                  1.194,                0.61717,                0.95746,                0.93611,                0.89507,                0.96326,                0.65049,                 1.0762,                0.56292,                 0.9482,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1221,                0.58072,                0.93843,                0.94834,                0.91542,                0.97448,                0.66183,                 1.0773,                0.51827,                0.94811,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1387,                0.58337,                0.94063,                0.94439,                0.90907,                 0.9637,                0.65381,                 1.0884,                0.53619,                0.95653,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1641,                0.60078,                 0.9411,                0.95178,                 0.9015,                0.96755,                0.64216,                  1.119,                0.53884,                0.95647,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1419,                0.59185,                0.94678,                0.95474,                0.92605,                0.97074,                0.65707,                 1.1033,                0.53114,                0.94993,               0.001208,               0.001208,               0.001208
                     42,                 1.1306,                0.57825,                0.94248,                0.94903,                0.91706,                0.96954,                0.65575,                 1.0787,                0.51014,                0.94497,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1427,                 0.5847,                0.94256,                0.94899,                0.92612,                0.96984,                0.65507,                   1.09,                0.52148,                0.94953,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1401,                0.57337,                0.93378,                0.93174,                0.93538,                0.97302,                0.66121,                  1.079,                0.51455,                 0.9454,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.117,                0.56217,                  0.924,                0.95032,                0.92169,                0.97547,                0.67426,                 1.0604,                0.48877,                0.94338,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1068,                 0.5607,                0.92941,                0.95806,                0.91221,                0.96983,                0.66855,                 1.0679,                0.49651,                0.94588,               0.001109,               0.001109,               0.001109
                     47,                 1.1203,                0.56192,                0.93972,                0.94231,                0.92291,                0.97064,                0.65823,                  1.072,                0.50905,                0.94639,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1112,                0.55211,                0.92955,                0.93733,                0.92873,                0.97487,                0.65741,                 1.0695,                0.52837,                0.94952,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1298,                0.56456,                0.93435,                0.94496,                0.91863,                0.96979,                0.67002,                 1.0594,                0.49435,                0.94428,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0969,                0.55173,                0.92703,                0.95209,                0.93626,                0.97481,                0.65906,                 1.0789,                0.50855,                0.95038,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1426,                0.56137,                0.93464,                0.95875,                0.93041,                 0.9704,                0.64222,                 1.1278,                 0.5251,                0.96489,                0.00101,                0.00101,                0.00101
                     52,                 1.1222,                0.54706,                0.93195,                0.94584,                0.93495,                0.97387,                0.66021,                 1.0849,                0.50433,                0.95827,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.107,                0.54419,                0.93125,                0.94941,                0.92435,                0.97136,                0.67165,                 1.0532,                0.48581,                0.94269,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0774,                0.52827,                0.92873,                0.94803,                0.92505,                0.97387,                0.65829,                 1.0622,                0.50957,                0.94336,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1077,                0.54985,                0.92633,                0.94452,                0.94433,                0.97516,                0.67777,                 1.0407,                0.47769,                0.93736,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1284,                0.55329,                0.93235,                0.94672,                0.93215,                0.97125,                0.66757,                 1.0741,                0.50024,                0.95032,               0.000911,               0.000911,               0.000911
